12:19:42:580,4199
12:19:48:47,835
12:19:53:688,787
12:19:59:137,947
12:20:04:762,696
12:20:08:70,5506
12:20:15:384,4452
12:20:20:860,856
12:20:26:326,911
12:20:31:804,91
12:20:37:291,435
12:20:42:582,55
12:20:48:80,813
12:20:59:4,3607101582
12:21:04:556,86
12:21:08:896,4547
12:21:09:736,1963
12:21:15:122,5713
12:21:20:566,1374
12:21:31:546,1249
12:21:37:52,734
12:21:39:354,3393
12:21:47:756,4058
12:21:53:275,1847
12:21:58:900,1668
12:22:03:989,1633
12:22:15:600,524
12:22:21:108,288
12:22:26:662,386
12:22:31:896,345
12:22:37:409,571
12:22:40:121,4791
12:22:43:62,5637
12:22:48:642,1036
12:22:59:771,1252
12:23:05:264,1130
12:23:10:700,6
12:23:10:921,6
12:23:43:849,687895925
12:23:43:916,9782
12:24:24:955,1765
12:24:30:607,1734
12:24:35:742,801
12:24:41:261,888
12:24:45:69,5896
12:24:46:376,4973
12:24:51:822,222
12:24:57:447,1123
12:25:08:386,1750
12:25:14:28,243
12:25:24:723,740
12:25:29:847,207
12:25:35:410,84
12:25:40:531,1331
12:25:51:563,6602
12:26:02:963,1442971662
12:28:06:717,71
12:28:12:342,30
12:29:27:711,3551
12:29:33:223,4855
12:29:38:733,1170
12:29:44:245,1225
12:29:49:767,1174
12:29:54:912,1219
12:30:00:472,40
12:30:11:542,13
12:30:18:498,3009600
12:30:27:619,19511
12:30:33:189,74
12:30:38:712,207
12:30:44:345,128
12:30:49:892,130
12:30:55:465,239
12:31:01:42,46
12:31:06:555,8
12:31:09:79,2989
12:31:12:87,2191
12:31:17:603,103
12:31:28:642,62
12:31:39:282,32
12:31:44:820,57
12:31:50:402,21
12:31:55:976,21
12:31:59:477,2952
12:32:01:566,3854
12:32:07:89,18
12:32:12:612,61
12:32:18:122,57
12:32:23:636,75
12:32:29:151,48
12:32:45:355,32
12:32:49:763,4445
12:32:50:698,5196
12:32:55:893,8
12:33:01:462,54
12:33:07:35,58
12:33:12:595,43
12:33:18:110,17
12:33:23:621,108
12:33:29:132,32
12:33:34:656,99
12:33:40:96,5653
12:33:45:667,6228
12:33:56:682,78
12:34:02:196,50
12:34:07:712,76
12:34:13:299,24
12:34:18:823,38
12:34:24:439,85
12:34:30:0,21
12:34:30:653,3602
12:34:35:193,1170
12:34:40:705,66
12:34:46:218,23
12:34:56:924,1
12:35:02:489,19
12:35:08:63,25
12:35:13:626,10
12:35:19:152,87
12:36:56:837,1424
12:37:01:755,3516
12:38:25:118,3699190
12:38:30:580,12917
12:38:36:418,115
12:38:41:564,14603
12:38:42:977,4542
12:38:46:918,4108
12:38:52:542,30084
12:38:57:593,28
12:39:03:174,3478
12:39:08:778,1097
12:39:14:312,1446
12:39:19:894,46
12:39:25:430,32
12:39:30:943,18
12:39:33:389,6634
12:39:41:989,1
12:39:53:26,3
12:39:59:936,2945392
12:40:09:54,18970
12:40:14:620,201
12:40:31:203,284
12:40:45:848,4450385
12:40:51:708,64668
12:41:21:916,764309
12:41:29:89,3671
12:41:57:670,925599
12:42:03:183,12625
12:42:08:699,190
12:42:14:211,211
12:42:19:680,7793
12:42:25:240,10705
12:42:30:752,2489
12:42:36:268,2346
12:42:41:850,2603
12:42:47:375,2731
12:42:52:985,48
12:42:58:125,33
12:43:08:831,66
12:43:10:241,6669
12:43:14:238,5343
12:43:25:245,10
12:43:30:805,38
12:43:36:324,40
12:43:41:476,58
12:43:47:38,15
12:43:52:605,8
12:43:58:115,32
12:44:00:642,5522
12:44:08:732,5842
12:44:14:251,48
12:44:19:883,11
12:44:24:946,60
12:44:30:469,39
12:44:41:514,33
12:44:47:26,5
12:44:50:964,6225
12:44:52:417,6542
12:44:57:945,18
12:45:03:520,87
12:45:14:142,62
12:45:19:712,23
12:45:25:238,87
12:45:30:454,61
12:45:36:18,35
12:45:41:496,4342
12:45:52:70,7
12:45:57:580,98
12:46:03:94,93
12:46:08:614,27
12:46:14:126,104
12:46:24:777,164
12:46:29:904,19
12:46:31:955,2188
12:46:35:530,2337
12:46:41:38,49
12:46:46:563,77
12:46:52:77,111
12:46:57:589,11
12:47:08:666,56
12:47:14:194,34
12:47:19:809,32
12:47:22:210,3303
12:47:25:185,4458
12:47:30:695,122
12:47:36:208,51
12:47:41:778,2
12:47:47:291,73
12:47:52:430,23
12:47:57:989,98
12:48:03:516,18
12:48:09:31,42
12:48:12:464,3346
12:48:14:420,2236
12:48:19:941,29
12:48:25:523,16
12:48:36:185,38
12:48:41:313,52
12:48:46:915,13
12:48:52:491,37
12:48:58:6,43
12:49:03:25,5399
12:49:03:531,8543
12:49:08:552,68
12:49:14:64,73
12:49:25:72,10000
12:49:30:584,10098
12:49:36:95,53
12:49:41:681,71
12:49:47:199,32
12:49:52:319,48
12:49:53:794,4863
12:49:57:849,1170
12:50:02:916,52
12:50:08:438,22
12:50:13:954,3
12:50:19:475,29
12:50:24:988,16
12:50:36:15,22
12:50:41:586,53
12:50:45:318,16839609
12:50:51:996,25602
12:50:57:524,271
12:51:03:38,261
12:51:08:564,288
12:51:14:142,292
12:51:19:657,173
12:51:25:169,49
12:51:30:678,85
12:51:35:610,4588
12:51:36:103,7330
12:51:41:176,18
12:51:46:688,77
12:51:52:200,73
12:52:02:879,54
12:52:08:87,1
12:52:13:649,74
12:52:19:167,39
12:52:24:690,67
12:52:26:140,4208
12:52:30:164,1160
12:52:35:729,11
12:52:41:263,35
12:52:52:353,33554493
12:52:57:904,45
12:53:08:242,4
12:53:13:752,7
12:53:16:784,1350
12:53:19:275,1645
12:53:24:800,84
12:53:30:314,71
12:53:35:839,96
12:53:41:367,21
12:53:46:961,66
12:53:52:484,62
12:53:57:993,24
12:54:07:548,1569
12:54:08:987,1639
12:54:14:579,35
12:54:20:97,50
12:54:25:730,46
12:54:30:884,101
12:54:36:419,29
12:54:41:923,22
12:54:47:522,36
12:54:53:40,17
12:54:58:46,4324
12:54:58:554,6962
12:55:09:141,52
12:55:19:859,61
12:55:24:992,16
12:55:30:56,27
12:55:35:567,78
12:55:41:79,63
12:55:46:593,61
12:55:48:621,5633
12:55:52:127,4166
12:55:57:635,43
12:56:03:150,107
12:56:08:658,39
12:56:14:171,78
12:56:26:183,27616024
12:56:31:775,36
12:56:37:355,151082498
12:56:38:856,2387
12:56:42:889,472
12:56:48:468,49
12:56:54:34,20
12:56:59:555,84
12:57:05:68,82
12:57:10:578,30
12:57:16:91,146
12:57:21:604,18
12:57:32:583,169
12:57:38:95,156
12:57:43:613,51
12:57:54:654,94
12:58:00:171,30
12:58:05:288,31
12:58:10:873,31
12:58:16:417,12
12:58:19:473,4684
12:58:21:960,8913
12:58:27:543,52
12:58:33:454,58
12:58:38:469,15
12:58:44:114,95
12:58:49:179,31
12:58:54:691,3
12:59:05:700,43
12:59:09:691,4461
12:59:11:133,88
12:59:16:662,45
12:59:22:229,16
12:59:27:742,24
12:59:40:203,6345931
12:59:49:367,18329
12:59:54:885,305
13:00:00:410,276
13:00:05:921,271
13:00:16:951,221
13:00:22:476,48
13:00:27:991,2
13:00:30:484,2612
13:00:33:477,2372
13:00:39:44,11
13:00:44:559,78
13:00:50:87,84
13:01:00:723,44
13:01:06:269,30
13:01:11:842,71
13:01:17:416,34
13:01:22:861,2940
13:01:28:427,14
13:01:33:994,23
13:01:39:517,40
13:01:45:27,3
13:01:50:552,43
13:01:56:64,66
13:02:06:733,9
13:02:11:239,3425
13:02:12:175,3981
13:02:17:684,70
13:02:23:193,46
13:02:28:732,19
13:02:39:796,27
13:02:50:936,40
13:02:56:515,45
13:03:01:507,3816
13:03:07:75,3827
13:03:12:586,72
13:03:18:107,23
13:03:23:613,65
13:03:29:129,58
13:03:34:679,92
13:03:40:206,17
13:03:45:357,78
13:03:51:927,3887
13:03:56:471,4141
13:04:02:26,75
13:04:07:550,11
13:04:18:209,28
13:04:23:867,14
13:04:28:929,18
13:04:34:453,5
13:04:39:966,36
13:04:42:562,3016
13:04:45:553,1938
13:04:51:68,60
13:04:57:908,16544004
13:05:03:431,172
13:05:08:940,104
13:05:14:464,35
13:05:25:82,9
13:05:30:691,96
13:05:33:76,1330
13:05:36:50,833
13:05:41:141,7
13:05:46:696,33
13:05:52:259,58
13:05:57:782,13
13:06:03:300,87
13:06:08:461,2
13:06:14:31,52
13:06:25:173,92
13:06:30:700,16
13:06:36:263,6
13:06:41:790,64
13:06:47:377,106
13:06:52:889,100
13:06:58:447,1
13:07:03:926,34
13:07:09:453,13
13:07:13:948,2499
13:07:14:958,4471
13:07:20:480,9
13:07:25:990,57
13:07:37:28,66
13:07:42:592,4
13:07:48:137,33
13:07:53:694,24
13:07:59:203,10
13:08:04:132,3500
13:08:04:674,2635
13:08:09:693,22
13:08:15:267,17
13:08:20:849,85
13:08:26:380,29
13:08:31:892,27
13:08:48:349,206
13:08:53:912,354
13:08:59:48,241
13:09:04:114,294
13:09:09:626,210
13:09:15:138,67
13:09:23:404,8491374
13:09:28:914,11316
13:09:29:663,2617
13:09:34:161,5495
13:09:39:714,39
13:09:45:253,4
13:09:50:842,46
13:09:55:902,8
13:10:02:824,1262920
13:10:12:5,1166
13:10:20:689,1838103
13:10:27:768,4294967161
13:10:33:338,4294967084
13:10:38:895,4294966993
13:10:49:934,4294967034
13:10:55:463,4294967265
13:11:00:974,6
13:11:06:500,30
13:11:10:930,4294964205
13:11:11:879,6013
13:11:17:451,4294967285
13:11:23:20,31
13:11:28:551,4294967281
13:11:55:374,70
13:12:00:882,-95
13:12:01:637,-5179
13:12:06:137,4454
13:12:11:709,-40
13:12:17:234,-21
13:12:22:357,60
13:12:27:869,-73
13:12:33:394,-31
13:12:44:41,57
13:12:49:605,-27
13:12:55:71,4935
